longitude	station	latitude	revision	location	code
86.59611	Saharsa	25.87498	2025/02/01	Asia/Kolkata	IN
74.80555	Srinagar	34.08565	2019/12/12	Asia/Kolkata	IN
33.34864	Nova Kakhovka	46.75451	19 Jul 2020	Europe/Kyiv	UA
124.84472	Maasin	10.13361	20 Dec 2022	Asia/Manila	PH
-96.67834	Ada	34.77453	21 Dec 2023	America/Chicago	US
-67.15407	Aguadilla	18.42745	2017-06-29	America/Puerto_Rico	PR
103.61667	Jambi City	-1.6	2016-09-02	Asia/Jakarta	ID
10.98461	Friedberg	48.35693	21 Sep 2017	Europe/Berlin	DE
-39.25	Muritiba	-12.91667	2021/07/21	America/Bahia	BR
1.6	Pamiers	43.11667	2025-06-13	Europe/Paris	FR
120.97844	Guyong	14.8361	08/13/2024, 00:00:00	Asia/Manila	PH
47.31667	Antanifotsy	-19.65	2023-04-20	Indian/Antananarivo	MG
-73.0515	Waterbury	41.55815	04/09/2023, 00:00:00	America/New_York	US
-122.24064	Bothell West	47.80527	23 Apr 2017	America/Los_Angeles	US
56.36091	Saraktash	51.78771	10 Jun 2021	Asia/Yekaterinburg	RU
-6.03731	San Juan de Aznalfarache	37.35813	14 Jun 2018	Europe/Madrid	ES
-95.44744	Fresno	29.53885	2019/11/20	America/Chicago	US
-61.51889	Port of Spain	10.66668	2023/04/20	America/Port_of_Spain	TT
3.39467	Lagos	6.45407	2017-12-15	Africa/Lagos	NG
83.62389	Novosilikatnyy	53.30972	2018/03/03	Asia/Barnaul	RU
43.2379	Mikhaylovka	50.06	2020/06/18	Europe/Volgograd	RU
122.08333	Ulanhot	46.08333	21 Jul 2021	Asia/Shanghai	CN
28.88222	Mudanya	40.37528	2025/01/11	Europe/Istanbul	TR
-48.59278	Buri	-23.7975	2017/03/02	America/Sao_Paulo	BR
-50.00639	Palmeira	-25.42944	2016-06-17	America/Sao_Paulo	BR
-3.53261	San Fernando de Henares	40.42386	01/27/2021, 00:00:00	Europe/Madrid	ES
-42.19667	Miracema	-21.41222	01 Apr 2023	America/Sao_Paulo	BR
69.67639	Parkent	41.29444	18 May 2022	Asia/Tashkent	UZ
-71.06616	Malden	42.4251	2017/10/21	America/New_York	US
75.96976	Gajendragarh	15.73628	2022/06/21	Asia/Kolkata	IN
120.33063	Longgang	37.65181	10/03/2021, 00:00:00	Asia/Shanghai	CN
-89.66123	Progreso	21.28306	16 Nov 2017	America/Merida	MX
-6.90656	Temara	33.92866	2024/05/06	Africa/Casablanca	MA
68.11759	Tharu Shah	26.9423	2020-12-09	Asia/Karachi	PK
-56.52361	Durazno	-33.38056	09/17/2019, 00:00:00	America/Montevideo	UY
71.67164	Qadirpur Ran	30.29184	2021/10/18	Asia/Karachi	PK
31.33078	Voznesensk	47.56494	04/20/2025, 00:00:00	Europe/Kyiv	UA
14.317466	Český Krumlov	48.812737	2022/04/30	Europe/Prague	CZ
-71.8023	Fitchburg	42.58342	2024-12-19	America/New_York	US
117.81667	Zhoucun	36.81667	08/04/2019, 00:00:00	Asia/Shanghai	CN
-77.55777	Bon Air	37.52487	2020-08-26	America/New_York	US
-73.97069	Kensington	40.64621	2020/05/30	America/New_York	US
113.69785	Besuki	-7.73379	09 Aug 2018	Asia/Jakarta	ID
-122.39168	Redding	40.58654	2017-03-04	America/Los_Angeles	US
72.54064	Sillanwali	31.82539	08/19/2016, 00:00:00	Asia/Karachi	PK
10.30215	Bad Segeberg	53.94313	2017-08-18	Europe/Berlin	DE
6.26667	Schwalmtal	51.21667	2025/08/01	Europe/Berlin	DE
35.90057	Tver	56.85836	25 Dec 2018	Europe/Moscow	RU
-69.96533	Brunswick	43.91452	2021/09/04	America/New_York	US
-4.1	Quimper	48	12/16/2019, 00:00:00	Europe/Paris	FR
-48.62789	Caldas Novas	-17.74431	2024-05-08	America/Sao_Paulo	BR
15.28318	Brazzaville	-4.26613	09/06/2019, 00:00:00	Africa/Brazzaville	CG
9.20427	Reutlingen	48.49144	01 Dec 2016	Europe/Berlin	DE
-41.88778	Itaperuna	-21.205	01/10/2019, 00:00:00	America/Sao_Paulo	BR
85.4265	Yashkino	55.8736	2017-05-25	Asia/Novokuznetsk	RU
-62.64102	Ciudad Guayana	8.35122	2019-11-19	America/Caracas	VE
9.02596	Albstadt	48.21644	2017/10/04	Europe/Berlin	DE
-81.77285	Clermont	28.54944	2018/05/09	America/New_York	US
138.89585	Annaka	36.33011	2020/05/03	Asia/Tokyo	JP
4.7934	Saint-Genis-Laval	45.69558	2019/04/22	Europe/Paris	FR
67.84222	Jizzax	40.11583	03/13/2020, 00:00:00	Asia/Samarkand	UZ
10.58082	Msaken	35.72917	2022-05-18	Africa/Tunis	TN
21.32778	Saraj	42	27 Apr 2020	Europe/Skopje	MK
4.8951	Valence	44.92801	12/15/2016, 00:00:00	Europe/Paris	FR
-1.86343	Caravaca	38.10558	2018/07/29	Europe/Madrid	ES
-76.51552	Rosedale	39.32011	02/24/2024, 00:00:00	America/New_York	US
71.57737	Gariadhar	21.53889	07/06/2022, 00:00:00	Asia/Kolkata	IN
120.82747	Zhuangyuan	37.30553	2023-02-23	Asia/Shanghai	CN
-122.2608	American Canyon	38.17492	11/09/2016, 00:00:00	America/Los_Angeles	US
34.37389	Sungurlu	40.1675	25 Oct 2021	Europe/Istanbul	TR
78.27539	Robertsonpet	12.95629	27 Jan 2023	Asia/Kolkata	IN
86.79271	Madhipura	25.92127	21 Sep 2018	Asia/Kolkata	IN
78.23456	Bachhraon	28.92694	2024-10-31	Asia/Kolkata	IN
-48.52333	Soure	-0.71667	29 Jul 2016	America/Belem	BR
117.59152	Tarakan	3.31332	23 Jun 2023	Asia/Makassar	ID
-4.83076	Talavera de la Reina	39.96348	2020/11/20	Europe/Madrid	ES
47.3799	Darreh Shahr	33.14447	01 Oct 2015	Asia/Tehran	IR
-1.5443	Lymington	50.75767	12/23/2015, 00:00:00	Europe/London	GB
-86.77917	Brentwood Estates	36.02506	05/26/2025, 00:00:00	America/Chicago	US
37.99117	Krymsk	44.92934	2023-02-27	Europe/Moscow	RU
34.34691	Petrozavodsk	61.78491	21 Jun 2017	Europe/Moscow	RU
-1.4001	Mampong	7.06273	12/30/2022, 00:00:00	Africa/Accra	GH
28.28489	Soroca	48.15659	2017-03-14	Europe/Chisinau	MD
8.96317	Hechingen	48.35149	2023-05-06	Europe/Berlin	DE
75.16878	Moga	30.81383	2020-12-17	Asia/Kolkata	IN
28.28489	Soroca	48.15659	2018-08-06	Europe/Chisinau	MD
4.85668	Bordj Zemoura	36.27462	07/01/2018, 00:00:00	Africa/Algiers	DZ
-93.11308	Tuxtla	16.75973	31 May 2022	America/Mexico_City	MX
12.1369	Zeitz	51.04962	2016/08/08	Europe/Berlin	DE
6.92917	Oldenzaal	52.31333	2022-03-21	Europe/Amsterdam	NL
-89.71472	Sonzacate	13.73417	10 Dec 2017	America/El_Salvador	SV
-74.95472	Puerto Colombia	10.98778	07/14/2021, 00:00:00	America/Bogota	CO
27.02444	Edremit	39.59611	2022-02-24	Europe/Istanbul	TR
120.14278	Jiangyan	32.50611	2020-09-05	Asia/Shanghai	CN
27.06365	Shepetivka	50.18545	2020-08-31	Europe/Kyiv	UA
-93.71133	West Des Moines	41.57721	11 Oct 2017	America/Chicago	US
-94.74049	Longview	32.5007	2025-02-08	America/Chicago	US
-83.48216	Canton	42.30865	2023/04/27	America/Detroit	US
112.9	Xiangtan	27.85	11/18/2020, 00:00:00	Asia/Shanghai	CN
-96.67834	Ada	34.77453	2018-08-20	America/Chicago	US
-85.76942	Greenfield	39.78504	01 Nov 2023	America/Indiana/Indianapolis	US
2.31889	Ksar Chellala	35.21222	03/20/2022, 00:00:00	Africa/Algiers	DZ
-119.27337	Vernon	50.26729	2018/06/08	America/Vancouver	CA
-2.98333	Poulton-le-Fylde	53.83333	05/15/2019, 00:00:00	Europe/London	GB
136.13108	Ueno-ebisumachi	34.75856	2018/03/30	Asia/Tokyo	JP
2.18967	Rueil-Malmaison	48.8765	2016-09-25	Europe/Paris	FR
4.8951	Valence	44.92801	2019-07-15	Europe/Paris	FR
34.11169	Busia	0.46005	04/25/2024, 00:00:00	Africa/Nairobi	KE
29.65806	Mwandiga	-4.83	2016/04/06	Africa/Dar_es_Salaam	TZ
6.92917	Oldenzaal	52.31333	04/26/2021, 00:00:00	Europe/Amsterdam	NL
-89.64066	Pekin	40.56754	2017/03/01	America/Chicago	US
17.22635	Skalica	48.8449	2024-08-06	Europe/Bratislava	SK
-79.00453	Cuenca	-2.90055	23 Nov 2022	America/Guayaquil	EC
-95.44744	Fresno	29.53885	10/23/2021, 00:00:00	America/Chicago	US
68.49143	Bhit Shah	25.80565	2020-05-20	Asia/Karachi	PK
5.4584	Les Olives	43.32393	2025/03/18	Europe/Paris	FR
28.88222	Mudanya	40.37528	08 Sep 2023	Europe/Istanbul	TR
-35.71667	Catende	-8.66667	22 Jun 2025	America/Recife	BR
15.07041	Catania	37.49223	12/03/2018, 00:00:00	Europe/Rome	IT
-58.70072	Pontevedra	-34.74785	2020/06/16	America/Argentina/Buenos_Aires	AR
84.13864	Jashpurnagar	22.88783	01 Apr 2025	Asia/Kolkata	IN
16.606836	Brno	49.195061	2021/01/27	Europe/Prague	CZ
71.52847	Mianwali	32.57756	2017/05/07	Asia/Karachi	PK
130.94098	Hita	33.3213	2020-12-20	Asia/Tokyo	JP
120.74221	Changshu City	31.64615	2020-11-17	Asia/Shanghai	CN
122.08333	Ulanhot	46.08333	2018/08/27	Asia/Shanghai	CN
-71.19901	Ovalle	-30.60106	2016/05/07	America/Santiago	CL
11.18709	Neuburg an der Donau	48.73218	09 Aug 2017	Europe/Berlin	DE
5.22778	Culemborg	51.955	2023/08/22	Europe/Amsterdam	NL
118.53333	Pucheng	27.92333	08/28/2024, 00:00:00	Asia/Shanghai	CN
69.49015	Ishim	56.11281	07 Nov 2019	Asia/Yekaterinburg	RU
42.7125	'Ali Sabieh	11.15583	12/30/2023, 00:00:00	Africa/Djibouti	DJ
-4.10734	Puertollano	38.68712	2023-10-05	Europe/Madrid	ES
92.48278	Lesosibirsk	58.23583	2024/02/09	Asia/Krasnoyarsk	RU
-3.59625	Bonoua	5.27247	2019/07/15	Africa/Abidjan	CI
-42.19667	Miracema	-21.41222	02 Jul 2017	America/Sao_Paulo	BR
10.18003	Ghat	24.96334	11/01/2017, 00:00:00	Africa/Tripoli	LY
-58.38341	Barracas	-34.64966	2024-10-07	America/Argentina/Buenos_Aires	AR
37.92792	Kireyevsk	53.93361	09 Feb 2018	Europe/Moscow	RU
27.46153	Tonota	-21.44236	16 May 2024	Africa/Gaborone	BW
68.49143	Bhit Shah	25.80565	2022/11/06	Asia/Karachi	PK
-156.47432	Kahului	20.88953	2021-09-02	Pacific/Honolulu	US
2.61667	Mitry-Mory	48.98333	2025-07-23	Europe/Paris	FR
83.97573	Sambalpur	21.46527	19 Mar 2016	Asia/Kolkata	IN
-102.04897	Paracho de Verduzco	19.64745	2018/09/24	America/Mexico_City	MX
-91.77127	Rolla	37.95143	2025-07-20	America/Chicago	US
42.7125	'Ali Sabieh	11.15583	2024-11-27	Africa/Djibouti	DJ
17.250879	Olomouc	49.593777	2022/10/12	Europe/Prague	CZ
-81.23621	Lexington	33.98154	12/19/2018, 00:00:00	America/New_York	US
91.00632	Barpeta	26.32293	24 Nov 2020	Asia/Kolkata	IN
-82.90375	Dublin	32.54044	11/10/2021, 00:00:00	America/New_York	US
70.91106	Alipur	29.38242	10 Jun 2016	Asia/Karachi	PK
35.23388	East Jerusalem	31.78336	2016/03/24	Asia/Hebron	PS
24.6522	Espoo	60.2052	2024-10-29	Europe/Helsinki	FI
-82.35176	Sun City Center	27.71809	08/22/2018, 00:00:00	America/New_York	US
31.4976	Juhaynah	26.67319	2016-05-16	Africa/Cairo	EG
74.12286	Kanganpur	30.76468	04/26/2019, 00:00:00	Asia/Karachi	PK
-48.29694	Viradouro	-20.87306	2018-10-09	America/Sao_Paulo	BR
103.65309	Roi Et	16.0567	12/28/2017, 00:00:00	Asia/Bangkok	TH
76.11996	Manjeri	11.12018	07/02/2023, 00:00:00	Asia/Kolkata	IN
75.35927	Talipparamba	12.04161	2017/05/08	Asia/Kolkata	IN
28.88222	Mudanya	40.37528	2019/11/27	Europe/Istanbul	TR
73	Jalal-Abad	40.93333	05 Nov 2020	Asia/Bishkek	KG
4.74161	Ilesa	7.62789	25 Apr 2025	Africa/Lagos	NG
37.99117	Krymsk	44.92934	2017/07/18	Europe/Moscow	RU
-80.66756	Belle Glade	26.68451	04/27/2020, 00:00:00	America/New_York	US
6.10237	Onex	46.18396	2018-12-10	Europe/Zurich	CH
6.9747	Wesseling	50.82709	06/07/2020, 00:00:00	Europe/Berlin	DE
34.11169	Busia	0.46005	01/10/2021, 00:00:00	Africa/Nairobi	KE
72.54064	Sillanwali	31.82539	19 Jan 2017	Asia/Karachi	PK
-47.1725	Artur Nogueira	-22.57306	08/23/2021, 00:00:00	America/Sao_Paulo	BR
43.83992	Arzamas	55.39485	03/02/2017, 00:00:00	Europe/Moscow	RU
-78.04471	Leland	34.25628	2019/12/21	America/New_York	US
-71.05977	Boston	42.35843	04/15/2022, 00:00:00	America/New_York	US
-67.33122	La Victoria	10.22677	11/17/2015, 00:00:00	America/Caracas	VE
-0.59543	Talence	44.80477	06/19/2025, 00:00:00	Europe/Paris	FR
14.34085	Volla	40.87363	12/23/2020, 00:00:00	Europe/Rome	IT
27.25	Aytos	42.7	2022-12-28	Europe/Sofia	BG
113.69785	Besuki	-7.73379	2016-03-21	Asia/Jakarta	ID
74.80555	Srinagar	34.08565	2020-07-06	Asia/Kolkata	IN
24.14662	Tornio	65.84811	25 Feb 2018	Europe/Helsinki	FI
-78.19444	Front Royal	38.91817	2016-07-06	America/New_York	US
-81.56929	Collinwood	41.55838	06 Aug 2020	America/New_York	US
-87.45476	Schererville	41.47892	2023-05-19	America/Chicago	US
-3.59625	Bonoua	5.27247	2023-10-04	Africa/Abidjan	CI
123.50266	Hushitai	41.94175	2016/06/24	Asia/Shanghai	CN
-97.90308	Copperas Cove	31.12406	06 Dec 2023	America/Chicago	US
-6.00137	Oulmes	33.42585	2019-07-22	Africa/Casablanca	MA
-51.87389	Sarandi	-23.44361	07/01/2017, 00:00:00	America/Sao_Paulo	BR
8.63333	Kirchlengern	52.2	06 May 2022	Europe/Berlin	DE
60.8019	Beryozovsky	56.9083	02/04/2025, 00:00:00	Asia/Yekaterinburg	RU
86.51499	Kenda	23.1959	2018/03/16	Asia/Kolkata	IN
-71.19901	Ovalle	-30.60106	2018-06-21	America/Santiago	CL
85.37752	Barbil	22.10194	28 Nov 2015	Asia/Kolkata	IN
-81.26367	Deltona	28.90054	2018/06/11	America/New_York	US
33	Usagara	-2.68333	2017-02-27	Africa/Dar_es_Salaam	TZ
86.00214	Hoxtolgay	46.51872	2020-07-04	Asia/Urumqi	CN
-48.67028	Imbituba	-28.24	19 Jul 2016	America/Sao_Paulo	BR
-73.89875	Yonkers	40.93121	2019-04-13	America/New_York	US
34.11169	Busia	0.46005	09 May 2016	Africa/Nairobi	KE
19.91667	Luena	-11.78333	2021-06-01	Africa/Luanda	AO
-89.99038	Fairview Heights	38.58894	2025/01/25	America/Chicago	US
36.7138	Binnish	35.95664	2021/09/25	Asia/Damascus	SY
36.73307	Naro-Fominsk	55.38752	03/04/2017, 00:00:00	Europe/Moscow	RU
-87.65644	New City	41.80753	10/01/2021, 00:00:00	America/Chicago	US
68.88871	Jhol	25.95533	06/07/2020, 00:00:00	Asia/Karachi	PK
74.3092	Rajaori	33.37526	2024-07-29	Asia/Kolkata	IN
73.38333	Sangla Hill	31.71667	05 May 2016	Asia/Karachi	PK
-74.15987	Nutley	40.82232	07/02/2023, 00:00:00	America/New_York	US
9.5926	Walsrode	52.86147	12 Mar 2016	Europe/Berlin	DE
72.54566	Hasilpur	29.69221	03/24/2020, 00:00:00	Asia/Karachi	PK
136.51667	Komono	35	07/17/2016, 00:00:00	Asia/Tokyo	JP
-91.11667	Chichicastenango	14.93333	11/09/2015, 00:00:00	America/Guatemala	GT
102.3278	Kampung Ayer Molek	2.2139	08 Aug 2025	Asia/Kuala_Lumpur	MY
139.07204	Fujioka	36.24624	2017/06/12	Asia/Tokyo	JP
3.1631	Palafrugell	41.91738	05/03/2024, 00:00:00	Europe/Madrid	ES
-4.22398	Inverness	57.47908	26 Sep 2017	Europe/London	GB
20.91361	Bogovinje	41.92361	10/11/2015, 00:00:00	Europe/Skopje	MK
-48.62789	Caldas Novas	-17.74431	11/19/2022, 00:00:00	America/Sao_Paulo	BR
53.26023	Bavly	54.39304	14 Jun 2016	Europe/Moscow	RU
-1.99421	Devizes	51.35084	2016-05-02	Europe/London	GB
110.71639	Ngemplak	-7.54972	2021-08-16	Asia/Jakarta	ID
10.7	Tonga	4.96667	11/21/2019, 00:00:00	Africa/Douala	CM
125.51176	Dongfeng	42.64031	2018-11-06	Asia/Shanghai	CN
74.12286	Kanganpur	30.76468	2016/12/03	Asia/Karachi	PK
-52.51028	Soledade	-28.81833	07/24/2024, 00:00:00	America/Sao_Paulo	BR
9.15214	Aschaffenburg	49.97704	2024/08/24	Europe/Berlin	DE
17.8031	Hlohovec	48.43174	2017-08-19	Europe/Bratislava	SK
-13.68778	Camayenne	9.535	2024/02/02	Africa/Conakry	GN
-82.00919	Jaruco	23.04419	2024-09-28	America/Havana	CU
-73.75335	Dorval	45.4473	01 Jan 2019	America/Toronto	CA
-77.4286	Sterling	39.00622	2019-09-15	America/New_York	US
18.30056	Strzelce Opolskie	50.5107	11/03/2024, 00:00:00	Europe/Warsaw	PL
153.10236	Carindale	-27.50578	2016/10/02	Australia/Brisbane	AU
2.95924	Cheraga	36.76775	04/05/2018, 00:00:00	Africa/Algiers	DZ
7.36027	Radevormwald	51.20219	2019-07-14	Europe/Berlin	DE
-100.88023	Salvatierra	20.21322	2015-11-08	America/Mexico_City	MX
68.88871	Jhol	25.95533	24 Jan 2019	Asia/Karachi	PK
-117.29198	Encinitas	33.03699	2025/06/27	America/Los_Angeles	US
10.78222	Beni Khiar	36.46917	01/21/2021, 00:00:00	Africa/Tunis	TN
-72.86843	East Haven	41.27621	2024-05-16	America/New_York	US
-2.52398	Winsford	53.19146	14 Jul 2024	Europe/London	GB
8.91229	Eppingen	49.13645	12 Jul 2024	Europe/Berlin	DE
78.14797	Betamcherla	15.45144	24 Jan 2025	Asia/Kolkata	IN
122.08333	Ulanhot	46.08333	2016-08-13	Asia/Shanghai	CN
-68.30472	Tinaquillo	9.91861	2025-04-07	America/Caracas	VE
-95.36969	Muskogee	35.74788	30 Nov 2021	America/Chicago	US
-111.99633	Kearns	40.65995	2019/04/11	America/Denver	US
-8.2503	Albufeira	37.08819	12/16/2023, 00:00:00	Europe/Lisbon	PT
-82.90375	Dublin	32.54044	2018-07-22	America/New_York	US
12.70038	Cordenons	45.9836	2017/12/23	Europe/Rome	IT
144.09638	Motomachi	43.82634	2022-11-12	Asia/Tokyo	JP
121.3152	Calauan	14.14989	2016-05-29	Asia/Manila	PH
-71.29144	Middletown	41.54566	2017/11/24	America/New_York	US
9.40531	Gorgonzola	45.53069	2016-01-04	Europe/Rome	IT
74.3092	Rajaori	33.37526	28 Apr 2025	Asia/Kolkata	IN
-82.46148	Lutz	28.15112	01/10/2025, 00:00:00	America/New_York	US
24.6522	Espoo	60.2052	2016/07/20	Europe/Helsinki	FI
-85.76942	Greenfield	39.78504	2019-01-08	America/Indiana/Indianapolis	US
-71.10077	Santa Cruz de Barahona	18.20854	01/13/2019, 00:00:00	America/Santo_Domingo	DO
125.21972	Maliana	-8.99167	10/30/2021, 00:00:00	Asia/Dili	TL
-46.99583	Valinhos	-22.97056	06/25/2019, 00:00:00	America/Sao_Paulo	BR
-74.15987	Nutley	40.82232	2018/08/23	America/New_York	US
-46.99583	Valinhos	-22.97056	18 Feb 2020	America/Sao_Paulo	BR
31.33078	Voznesensk	47.56494	2023/02/15	Europe/Kyiv	UA
4.52529	Rixensart	50.71229	2016/08/19	Europe/Brussels	BE
-100.88023	Salvatierra	20.21322	06 Aug 2016	America/Mexico_City	MX
59.80222	Lesnoy	58.63667	2021-08-11	Asia/Yekaterinburg	RU
0.93333	East Dereham	52.68333	11 Mar 2017	Europe/London	GB
-119.01677	Porterville	36.06523	05/15/2022, 00:00:00	America/Los_Angeles	US
-81.79819	Lakewood	41.48199	28 Nov 2023	America/New_York	US
-113.3187	Sherwood Park	53.51684	2024/01/02	America/Edmonton	CA
-70.92866	Peabody	42.52787	09/08/2021, 00:00:00	America/New_York	US
14.01481	Roseto degli Abruzzi	42.67164	21 May 2017	Europe/Rome	IT
-80.66756	Belle Glade	26.68451	02 Apr 2020	America/New_York	US
71.21169	Amreli	21.59983	31 Dec 2019	Asia/Kolkata	IN
0.57856	Amposta	40.70995	17 Jul 2024	Europe/Madrid	ES
33.2525	Valday	57.97472	2017/09/19	Europe/Moscow	RU
-97.92977	Hutchinson	38.06084	04/19/2025, 00:00:00	America/Chicago	US
37.73333	Same	-4.06667	26 Nov 2018	Africa/Dar_es_Salaam	TZ
8.52462	Adliswil	47.30997	03/18/2025, 00:00:00	Europe/Zurich	CH
121.12251	Antipolo	14.62578	05/17/2018, 00:00:00	Asia/Manila	PH
24.95034	Kallio	60.18427	07 Jul 2019	Europe/Helsinki	FI
34.4587	Salima	-13.7804	08/30/2021, 00:00:00	Africa/Blantyre	MW
78.55757	Lal Bahadur Nagar	17.34769	11/09/2022, 00:00:00	Asia/Kolkata	IN
84.63445	Rafiganj	24.81757	27 Feb 2016	Asia/Kolkata	IN
123.62494	Masbate	12.37169	2023-07-23	Asia/Manila	PH
43.2379	Mikhaylovka	50.06	09 Sep 2022	Europe/Volgograd	RU
9.0027	Gaya	11.86064	2022-07-05	Africa/Lagos	NG
-2.68758	Leyland	53.69786	2023-05-31	Europe/London	GB
120.89694	Baliuag	14.95472	27 Feb 2025	Asia/Manila	PH
38.12408	Bogoroditsk	53.77166	2019-03-16	Europe/Moscow	RU
34.8732	Ganei Tikva	32.05971	2016/04/26	Asia/Jerusalem	IL
-0.45877	Niort	46.32313	2016/01/23	Europe/Paris	FR
-41.45861	Pedro II	-4.42472	2020-03-07	America/Fortaleza	BR
153.10236	Carindale	-27.50578	2022-09-29	Australia/Brisbane	AU
29.41824	Artsyz	45.99194	19 Aug 2017	Europe/Kyiv	UA
74.83554	Sirsi	14.62072	2020/04/28	Asia/Kolkata	IN
43.67663	Nizhniy Lomov	53.53041	13 Oct 2017	Europe/Moscow	RU
10.78222	Beni Khiar	36.46917	2020-10-27	Africa/Tunis	TN
-53.13722	Loanda	-22.92306	2021-11-05	America/Sao_Paulo	BR
-87.882	Westchester	41.85059	2015-10-25	America/Chicago	US
